STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
JAMMU & KASHMIR,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,Homicides,8,33,0,0,35,0,0,63,20,15,1,3
KARNATAKA,Homicides,0,0,0,0,0,0,0,0,0,0,2,0
KERALA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,Homicides,0,0,0,0,4,0,0,0,2,19,178,10
MAHARASHTRA,Homicides,11,0,0,0,0,2,0,0,0,0,0,0
MANIPUR,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,Homicides,0,0,0,0,0,0,0,0,2,0,2,0
MIZORAM,Homicides,0,1,1,0,0,0,0,0,0,0,0,0
NAGALAND,Homicides,0,0,1,0,0,0,0,0,0,0,0,0
ODISHA,Homicides,0,0,0,0,0,0,0,0,0,5,3,0
PUNJAB,Homicides,0,0,0,0,0,6,0,0,0,0,0,0
RAJASTHAN,Homicides,2,0,3,5,0,4,0,0,0,0,0,0
SIKKIM,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,Homicides,12,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,Homicides,0,0,0,7,0,0,0,0,0,0,0,0
UTTARAKHAND,Homicides,0,2,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,Homicides,2,2,1,12,75,2,8,6,7,11,0,25
TOTAL (STATES),Homicides,220,101,55,68,212,85,95,125,49,81,221,46
A & N ISLANDS,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),Homicides,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),Homicides,220,101,55,68,212,85,95,125,49,81,221,46
